,Epoch,Loss Type,Loss Value
6433,0.898412698,G_loss,1.5957
283,0.901587302,D_loss,0.8267
6434,0.901587302,G_loss,2.8345
284,0.904761905,D_loss,0.4845
6435,0.904761905,G_loss,3.1996
285,0.907936508,D_loss,1.1437
6436,0.907936508,G_loss,1.9603
286,0.911111111,D_loss,0.6561
6437,0.911111111,G_loss,1.7255
287,0.914285714,D_loss,0.8703
6438,0.914285714,G_loss,2.1978
288,0.917460317,D_loss,0.5287
6439,0.917460317,G_loss,2.1774
289,0.920634921,D_loss,1.2986
6440,0.920634921,G_loss,2.2826
290,0.923809524,D_loss,1.1121
6441,0.923809524,G_loss,1.4295
291,0.926984127,D_loss,0.5762
6442,0.926984127,G_loss,1.6771
292,0.93015873,D_loss,0.801
6443,0.93015873,G_loss,1.898
293,0.933333333,D_loss,1.2481
6444,0.933333333,G_loss,1.2121
294,0.936507937,D_loss,0.7174
6445,0.936507937,G_loss,1.6274
295,0.93968254,D_loss,0.8376
6446,0.93968254,G_loss,2.6961
296,0.942857143,D_loss,1.6163
6447,0.942857143,G_loss,2.1926
297,0.946031746,D_loss,0.9668
6448,0.946031746,G_loss,1.1982
298,0.949206349,D_loss,0.8081
6449,0.949206349,G_loss,1.4944
299,0.952380952,D_loss,0.8956
6450,0.952380952,G_loss,1.2656
300,0.955555556,D_loss,0.7559
6451,0.955555556,G_loss,2.1979
301,0.958730159,D_loss,0.8966
6452,0.958730159,G_loss,2.0451
302,0.961904762,D_loss,1.0078
6453,0.961904762,G_loss,1.3743
303,0.965079365,D_loss,0.566
6454,0.965079365,G_loss,2.555
304,0.968253968,D_loss,0.9284
6455,0.968253968,G_loss,1.7289
305,0.971428571,D_loss,1.0673
6456,0.971428571,G_loss,1.7869
306,0.974603175,D_loss,1.1433
6457,0.974603175,G_loss,0.9273
307,0.977777778,D_loss,1.4951
6458,0.977777778,G_loss,0.7877
308,0.980952381,D_loss,1.3412
6459,0.980952381,G_loss,0.8195
309,0.984126984,D_loss,0.9167
6460,0.984126984,G_loss,1.5112
310,0.987301587,D_loss,1.1037
6461,0.987301587,G_loss,0.8749
311,0.99047619,D_loss,0.8139
6462,0.99047619,G_loss,1.654
312,0.993650794,D_loss,0.7862
6463,0.993650794,G_loss,1.726
313,0.996825397,D_loss,0.9826
6464,0.996825397,G_loss,1.9056
314,1,D_loss,1.5856
6465,1,G_loss,1.6328
315,1.003174603,D_loss,1.1494
6466,1.003174603,G_loss,1.2359
316,1.006349206,D_loss,1.411
6467,1.006349206,G_loss,0.8106
317,1.00952381,D_loss,1.3685
6468,1.00952381,G_loss,1.4142
318,1.012698413,D_loss,0.9994
6469,1.012698413,G_loss,1.2317
319,1.015873016,D_loss,0.7054
6470,1.015873016,G_loss,2.4343
320,1.019047619,D_loss,0.9214
6471,1.019047619,G_loss,1.841
321,1.022222222,D_loss,1.0654
6472,1.022222222,G_loss,1.0381
322,1.025396825,D_loss,1.1703
6473,1.025396825,G_loss,2.398
323,1.028571429,D_loss,1.2139
6474,1.028571429,G_loss,0.8068
324,1.031746032,D_loss,0.9745
6475,1.031746032,G_loss,1.0874
325,1.034920635,D_loss,0.8149
6476,1.034920635,G_loss,1.8708
326,1.038095238,D_loss,1.0592
6477,1.038095238,G_loss,1.5596
327,1.041269841,D_loss,1.1485
6478,1.041269841,G_loss,2.109
328,1.044444444,D_loss,1.5071
6479,1.044444444,G_loss,3.994
329,1.047619048,D_loss,2.039
6480,1.047619048,G_loss,2.1199
330,1.050793651,D_loss,1.5067
6481,1.050793651,G_loss,1.164
331,1.053968254,D_loss,0.9827
6482,1.053968254,G_loss,1.473
332,1.057142857,D_loss,0.9859
6483,1.057142857,G_loss,1.7232
333,1.06031746,D_loss,0.8896
6484,1.06031746,G_loss,2.3808
334,1.063492063,D_loss,1.2856
6485,1.063492063,G_loss,1.2901
335,1.066666667,D_loss,1.3864
6486,1.066666667,G_loss,0.9402
336,1.06984127,D_loss,1.1578
6487,1.06984127,G_loss,1.2066
337,1.073015873,D_loss,0.9734
6488,1.073015873,G_loss,1.5183
338,1.076190476,D_loss,0.8754
6489,1.076190476,G_loss,1.8838
339,1.079365079,D_loss,0.7578
6490,1.079365079,G_loss,2.8313
340,1.082539683,D_loss,1.3445
6491,1.082539683,G_loss,1.9594
341,1.085714286,D_loss,1.3132
6492,1.085714286,G_loss,1.203
342,1.088888889,D_loss,1.1673
6493,1.088888889,G_loss,1.7149
343,1.092063492,D_loss,1.7948
6494,1.092063492,G_loss,1.8785
344,1.095238095,D_loss,1.3584
6495,1.095238095,G_loss,0.7735
345,1.098412698,D_loss,1.4645
6496,1.098412698,G_loss,0.8595
346,1.101587302,D_loss,1.2407
6497,1.101587302,G_loss,1.2956
347,1.104761905,D_loss,1.4415
6498,1.104761905,G_loss,1.2315
348,1.107936508,D_loss,1.0866
